nohup: ignoring input
--------------------------------------------------
正在加载模型 medium.en (TEDLIUM 全量推理模式)...
模型加载完成。
--------------------------------------------------
正在加载参考文本: /opt/Audio_Datasets/TEDLIUM_WAV/text.txt
已加载 2582 条参考文本。
开始遍历音频文件: /opt/Audio_Datasets/TEDLIUM_WAV
File: 000801.wav | WER: 0.4000 | Dist: 2 | RefWords: 5
File: 000809.wav | WER: 0.0000 | Dist: 0 | RefWords: 15
File: 000871.wav | WER: 0.1667 | Dist: 4 | RefWords: 24
File: 000864.wav | WER: 0.1111 | Dist: 2 | RefWords: 18
File: 000842.wav | WER: 0.0435 | Dist: 1 | RefWords: 23
File: 000846.wav | WER: 0.0000 | Dist: 0 | RefWords: 21
File: 000894.wav | WER: 0.2353 | Dist: 4 | RefWords: 17
File: 000820.wav | WER: 0.0741 | Dist: 2 | RefWords: 27
File: 000880.wav | WER: 0.0000 | Dist: 0 | RefWords: 20
File: 000816.wav | WER: 0.0909 | Dist: 1 | RefWords: 11
File: 000888.wav | WER: 0.3333 | Dist: 1 | RefWords: 3
File: 000835.wav | WER: 0.0435 | Dist: 1 | RefWords: 23
File: 000806.wav | WER: 0.3333 | Dist: 1 | RefWords: 3
File: 000852.wav | WER: 0.0000 | Dist: 0 | RefWords: 4
File: 000884.wav | WER: 0.1481 | Dist: 4 | RefWords: 27
File: 000892.wav | WER: 0.1250 | Dist: 2 | RefWords: 16
File: 000843.wav | WER: 0.0000 | Dist: 0 | RefWords: 14
File: 000868.wav | WER: 0.0000 | Dist: 0 | RefWords: 10
File: 000854.wav | WER: 0.0690 | Dist: 2 | RefWords: 29
File: 000844.wav | WER: 0.0000 | Dist: 0 | RefWords: 7
File: 000834.wav | WER: 0.1875 | Dist: 3 | RefWords: 16
File: 000849.wav | WER: 0.0833 | Dist: 1 | RefWords: 12
File: 000890.wav | WER: 0.0000 | Dist: 0 | RefWords: 8
File: 000836.wav | WER: 0.0000 | Dist: 0 | RefWords: 20
File: 000813.wav | WER: 0.0000 | Dist: 0 | RefWords: 10
File: 000811.wav | WER: 0.0000 | Dist: 0 | RefWords: 2
File: 000824.wav | WER: 0.1000 | Dist: 2 | RefWords: 20
File: 000477.wav | WER: 0.1429 | Dist: 1 | RefWords: 7
File: 000415.wav | WER: 0.0769 | Dist: 1 | RefWords: 13
File: 000437.wav | WER: 0.0000 | Dist: 0 | RefWords: 21
File: 000400.wav | WER: 0.0000 | Dist: 0 | RefWords: 3
File: 000448.wav | WER: 0.1538 | Dist: 2 | RefWords: 13
File: 000417.wav | WER: 0.2000 | Dist: 2 | RefWords: 10
File: 000449.wav | WER: 0.2000 | Dist: 2 | RefWords: 10
File: 000404.wav | WER: 0.0000 | Dist: 0 | RefWords: 4
File: 000451.wav | WER: 0.0000 | Dist: 0 | RefWords: 19
File: 000426.wav | WER: 0.0000 | Dist: 0 | RefWords: 17
File: 000414.wav | WER: 0.0000 | Dist: 0 | RefWords: 10
File: 000431.wav | WER: 0.0000 | Dist: 0 | RefWords: 21
File: 000494.wav | WER: 0.0571 | Dist: 2 | RefWords: 35
File: 000416.wav | WER: 0.2000 | Dist: 2 | RefWords: 10
File: 000473.wav | WER: 0.0000 | Dist: 0 | RefWords: 15
File: 000471.wav | WER: 0.0000 | Dist: 0 | RefWords: 15
File: 000406.wav | WER: 0.1250 | Dist: 2 | RefWords: 16
File: 000483.wav | WER: 0.0000 | Dist: 0 | RefWords: 1
File: 000487.wav | WER: 0.0435 | Dist: 1 | RefWords: 23
File: 000422.wav | WER: 0.0909 | Dist: 2 | RefWords: 22
File: 000470.wav | WER: 0.0000 | Dist: 0 | RefWords: 10
File: 000429.wav | WER: 0.1667 | Dist: 1 | RefWords: 6
File: 000403.wav | WER: 0.0909 | Dist: 2 | RefWords: 22
File: 000410.wav | WER: 0.1071 | Dist: 3 | RefWords: 28
File: 000423.wav | WER: 0.1667 | Dist: 4 | RefWords: 24
File: 000497.wav | WER: 0.0571 | Dist: 2 | RefWords: 35
File: 000427.wav | WER: 0.0000 | Dist: 0 | RefWords: 5
File: 000407.wav | WER: 0.1765 | Dist: 3 | RefWords: 17
File: 000413.wav | WER: 0.1250 | Dist: 1 | RefWords: 8
File: 000445.wav | WER: 0.0000 | Dist: 0 | RefWords: 13
File: 000467.wav | WER: 0.1250 | Dist: 1 | RefWords: 8
File: 000468.wav | WER: 0.0000 | Dist: 0 | RefWords: 5
File: 000478.wav | WER: 0.0476 | Dist: 1 | RefWords: 21
File: 000412.wav | WER: 0.0000 | Dist: 0 | RefWords: 5
File: 000401.wav | WER: 0.1000 | Dist: 3 | RefWords: 30
File: 000495.wav | WER: 0.0000 | Dist: 0 | RefWords: 21
File: 000489.wav | WER: 0.0000 | Dist: 0 | RefWords: 11
File: 000480.wav | WER: 0.1200 | Dist: 3 | RefWords: 25
File: 000479.wav | WER: 0.0000 | Dist: 0 | RefWords: 8
File: 000481.wav | WER: 0.0000 | Dist: 0 | RefWords: 7
File: 000434.wav | WER: 0.0000 | Dist: 0 | RefWords: 11
File: 000475.wav | WER: 0.0000 | Dist: 0 | RefWords: 6
File: 000472.wav | WER: 0.0833 | Dist: 2 | RefWords: 24
File: 000460.wav | WER: 0.0952 | Dist: 2 | RefWords: 21
File: 000464.wav | WER: 0.1316 | Dist: 5 | RefWords: 38
File: 000436.wav | WER: 0.1538 | Dist: 2 | RefWords: 13
File: 000411.wav | WER: 0.1600 | Dist: 4 | RefWords: 25
File: 000452.wav | WER: 0.2500 | Dist: 2 | RefWords: 8
File: 000418.wav | WER: 0.0800 | Dist: 2 | RefWords: 25
File: 000450.wav | WER: 0.0526 | Dist: 1 | RefWords: 19
File: 000444.wav | WER: 0.1667 | Dist: 2 | RefWords: 12
File: 000455.wav | WER: 0.0909 | Dist: 1 | RefWords: 11
File: 000457.wav | WER: 0.0000 | Dist: 0 | RefWords: 3
File: 000462.wav | WER: 0.1304 | Dist: 3 | RefWords: 23
File: 000441.wav | WER: 0.0588 | Dist: 2 | RefWords: 34
File: 000453.wav | WER: 0.0000 | Dist: 0 | RefWords: 23
File: 000447.wav | WER: 0.0690 | Dist: 2 | RefWords: 29
File: 000405.wav | WER: 0.0000 | Dist: 0 | RefWords: 17
File: 000420.wav | WER: 0.0000 | Dist: 0 | RefWords: 29
File: 000486.wav | WER: 0.1176 | Dist: 4 | RefWords: 34
File: 000443.wav | WER: 0.0667 | Dist: 1 | RefWords: 15
File: 000493.wav | WER: 0.1429 | Dist: 1 | RefWords: 7
File: 000408.wav | WER: 0.0000 | Dist: 0 | RefWords: 14
File: 000482.wav | WER: 0.0000 | Dist: 0 | RefWords: 3
File: 000461.wav | WER: 0.1053 | Dist: 2 | RefWords: 19
File: 000432.wav | WER: 0.1500 | Dist: 3 | RefWords: 20
File: 000490.wav | WER: 0.4000 | Dist: 2 | RefWords: 5
File: 000499.wav | WER: 0.0667 | Dist: 1 | RefWords: 15
File: 000458.wav | WER: 0.1852 | Dist: 5 | RefWords: 27
File: 000425.wav | WER: 0.2857 | Dist: 6 | RefWords: 21
File: 000492.wav | WER: 0.0000 | Dist: 0 | RefWords: 8
File: 000435.wav | WER: 0.1176 | Dist: 2 | RefWords: 17
File: 000456.wav | WER: 0.0000 | Dist: 0 | RefWords: 1
File: 000484.wav | WER: 0.0000 | Dist: 0 | RefWords: 24
File: 000469.wav | WER: 0.0000 | Dist: 0 | RefWords: 17
File: 000491.wav | WER: 0.0370 | Dist: 1 | RefWords: 27
File: 000419.wav | WER: 0.0870 | Dist: 2 | RefWords: 23
File: 000488.wav | WER: 0.3333 | Dist: 3 | RefWords: 9
File: 000498.wav | WER: 0.0000 | Dist: 0 | RefWords: 6
