nohup: ignoring input
--------------------------------------------------
Loading Model: medium.en on cuda...
Model Loaded.
--------------------------------------------------
Indexing audio files in /opt/Audio_Datasets/TEDLIUM_WAV ...
Indexed 2582 audio files.
--------------------------------------------------
File: 000268 | WER: 0.2143 | Dist: 3 | RefWords: 14
File: 000269 | WER: 0.4000 | Dist: 2 | RefWords: 5
File: 000270 | WER: 0.0000 | Dist: 0 | RefWords: 11
File: 000271 | WER: 0.1852 | Dist: 5 | RefWords: 27
File: 000272 | WER: 0.2500 | Dist: 3 | RefWords: 12
File: 000273 | WER: 0.2353 | Dist: 4 | RefWords: 17
File: 000274 | WER: 0.1667 | Dist: 4 | RefWords: 24
File: 000275 | WER: 0.1875 | Dist: 3 | RefWords: 16
File: 000276 | WER: 0.4545 | Dist: 5 | RefWords: 11
File: 000277 | WER: 0.0952 | Dist: 2 | RefWords: 21
File: 000278 | WER: 0.3043 | Dist: 7 | RefWords: 23
File: 000279 | WER: 0.0000 | Dist: 0 | RefWords: 5
File: 000281 | WER: 0.0000 | Dist: 0 | RefWords: 7
File: 000282 | WER: 0.0000 | Dist: 0 | RefWords: 18
File: 000283 | WER: 0.0500 | Dist: 1 | RefWords: 20
File: 000284 | WER: 0.0000 | Dist: 0 | RefWords: 4
File: 000285 | WER: 0.5000 | Dist: 2 | RefWords: 4
File: 000286 | WER: 0.0000 | Dist: 0 | RefWords: 4
File: 000288 | WER: 0.3636 | Dist: 8 | RefWords: 22
File: 000289 | WER: 0.3043 | Dist: 7 | RefWords: 23
File: 000290 | WER: 0.2414 | Dist: 7 | RefWords: 29
File: 000291 | WER: 0.1538 | Dist: 2 | RefWords: 13
File: 000292 | WER: 0.1600 | Dist: 4 | RefWords: 25
File: 000293 | WER: 0.6667 | Dist: 4 | RefWords: 6
File: 000295 | WER: 0.3750 | Dist: 6 | RefWords: 16
File: 000296 | WER: 0.4706 | Dist: 8 | RefWords: 17
File: 000297 | WER: 0.6667 | Dist: 4 | RefWords: 6
File: 000298 | WER: 0.1000 | Dist: 2 | RefWords: 20
File: 000299 | WER: 0.0000 | Dist: 0 | RefWords: 23
File: 000300 | WER: 0.0000 | Dist: 0 | RefWords: 14
File: 000301 | WER: 0.1304 | Dist: 3 | RefWords: 23
File: 000302 | WER: 0.1081 | Dist: 4 | RefWords: 37
File: 000303 | WER: 0.0690 | Dist: 2 | RefWords: 29
File: 000304 | WER: 0.1389 | Dist: 5 | RefWords: 36
File: 000305 | WER: 0.1333 | Dist: 2 | RefWords: 15
File: 000306 | WER: 0.1579 | Dist: 3 | RefWords: 19
File: 000307 | WER: 0.0000 | Dist: 0 | RefWords: 18
File: 000308 | WER: 0.2857 | Dist: 4 | RefWords: 14
File: 000309 | WER: 0.1220 | Dist: 5 | RefWords: 41
File: 000310 | WER: 0.0789 | Dist: 3 | RefWords: 38
File: 000311 | WER: 0.1515 | Dist: 5 | RefWords: 33
File: 000312 | WER: 0.1579 | Dist: 3 | RefWords: 19
File: 000313 | WER: 0.0000 | Dist: 0 | RefWords: 8
File: 000314 | WER: 0.0000 | Dist: 0 | RefWords: 5
File: 000315 | WER: 0.1250 | Dist: 1 | RefWords: 8
File: 000316 | WER: 0.5000 | Dist: 4 | RefWords: 8
File: 000317 | WER: 0.1915 | Dist: 9 | RefWords: 47
File: 000318 | WER: 0.3684 | Dist: 7 | RefWords: 19
File: 000319 | WER: 0.1000 | Dist: 3 | RefWords: 30
File: 000320 | WER: 0.0370 | Dist: 1 | RefWords: 27
File: 000321 | WER: 0.0000 | Dist: 0 | RefWords: 8
File: 000322 | WER: 0.0938 | Dist: 3 | RefWords: 32
File: 000323 | WER: 0.3478 | Dist: 8 | RefWords: 23
File: 000324 | WER: 0.1176 | Dist: 2 | RefWords: 17
File: 000325 | WER: 0.2500 | Dist: 3 | RefWords: 12
File: 000327 | WER: 0.2273 | Dist: 5 | RefWords: 22
File: 000328 | WER: 0.1429 | Dist: 1 | RefWords: 7
File: 000329 | WER: 0.6667 | Dist: 6 | RefWords: 9
File: 000330 | WER: 0.1250 | Dist: 2 | RefWords: 16
File: 000332 | WER: 0.1333 | Dist: 2 | RefWords: 15
File: 000333 | WER: 0.1250 | Dist: 5 | RefWords: 40
File: 000334 | WER: 0.2222 | Dist: 6 | RefWords: 27
File: 000335 | WER: 0.1111 | Dist: 2 | RefWords: 18
File: 000336 | WER: 0.1200 | Dist: 3 | RefWords: 25
File: 000337 | WER: 0.0000 | Dist: 0 | RefWords: 4
File: 000338 | WER: 0.0667 | Dist: 1 | RefWords: 15
File: 000339 | WER: 0.0000 | Dist: 0 | RefWords: 22
File: 000340 | WER: 0.0000 | Dist: 0 | RefWords: 3
File: 000341 | WER: 0.6364 | Dist: 14 | RefWords: 22
File: 000342 | WER: 0.1667 | Dist: 1 | RefWords: 6
File: 000343 | WER: 0.0000 | Dist: 0 | RefWords: 12
File: 000344 | WER: 0.0357 | Dist: 1 | RefWords: 28
File: 000345 | WER: 0.0294 | Dist: 1 | RefWords: 34
File: 000346 | WER: 0.2000 | Dist: 3 | RefWords: 15
File: 000347 | WER: 0.2000 | Dist: 2 | RefWords: 10
File: 000348 | WER: 0.1333 | Dist: 2 | RefWords: 15
File: 000349 | WER: 0.0000 | Dist: 0 | RefWords: 30
File: 000350 | WER: 0.0000 | Dist: 0 | RefWords: 15
File: 000351 | WER: 0.0000 | Dist: 0 | RefWords: 17
File: 000352 | WER: 0.1429 | Dist: 2 | RefWords: 14
File: 000353 | WER: 0.0000 | Dist: 0 | RefWords: 14
File: 000354 | WER: 0.0370 | Dist: 1 | RefWords: 27
File: 000355 | WER: 0.1667 | Dist: 6 | RefWords: 36
File: 000357 | WER: 0.1765 | Dist: 3 | RefWords: 17
File: 000359 | WER: 0.0000 | Dist: 0 | RefWords: 4
File: 000360 | WER: 0.2857 | Dist: 4 | RefWords: 14
File: 000361 | WER: 0.1786 | Dist: 5 | RefWords: 28
File: 000362 | WER: 0.2000 | Dist: 3 | RefWords: 15
File: 000364 | WER: 0.0556 | Dist: 1 | RefWords: 18
File: 000365 | WER: 0.0714 | Dist: 1 | RefWords: 14
File: 000366 | WER: 0.1667 | Dist: 2 | RefWords: 12
File: 000367 | WER: 0.0714 | Dist: 1 | RefWords: 14
File: 000368 | WER: 0.0000 | Dist: 0 | RefWords: 4
File: 000369 | WER: 0.5000 | Dist: 5 | RefWords: 10
File: 000370 | WER: 0.0000 | Dist: 0 | RefWords: 20
File: 000371 | WER: 0.4000 | Dist: 8 | RefWords: 20
File: 000372 | WER: 0.0000 | Dist: 0 | RefWords: 13
File: 000373 | WER: 0.0323 | Dist: 1 | RefWords: 31
File: 000374 | WER: 0.2000 | Dist: 1 | RefWords: 5
File: 000375 | WER: 0.2308 | Dist: 6 | RefWords: 26
File: 000376 | WER: 0.3333 | Dist: 1 | RefWords: 3
File: 000377 | WER: 0.1282 | Dist: 5 | RefWords: 39
File: 000378 | WER: 0.4667 | Dist: 7 | RefWords: 15
File: 000379 | WER: 0.0000 | Dist: 0 | RefWords: 31
File: 000380 | WER: 0.1842 | Dist: 7 | RefWords: 38
File: 000381 | WER: 0.0000 | Dist: 0 | RefWords: 5
File: 000382 | WER: 0.1429 | Dist: 3 | RefWords: 21
File: 000383 | WER: 0.0909 | Dist: 1 | RefWords: 11
File: 000384 | WER: 0.0000 | Dist: 0 | RefWords: 11
File: 000385 | WER: 0.0000 | Dist: 0 | RefWords: 10
File: 000386 | WER: 0.0000 | Dist: 0 | RefWords: 35
File: 000387 | WER: 0.0000 | Dist: 0 | RefWords: 21
File: 000388 | WER: 0.0000 | Dist: 0 | RefWords: 11
File: 000389 | WER: 0.1786 | Dist: 5 | RefWords: 28
File: 000390 | WER: 0.0800 | Dist: 2 | RefWords: 25
File: 000391 | WER: 0.0357 | Dist: 1 | RefWords: 28
File: 000393 | WER: 0.0000 | Dist: 0 | RefWords: 4
File: 000394 | WER: 0.1481 | Dist: 4 | RefWords: 27
File: 000395 | WER: 0.0000 | Dist: 0 | RefWords: 7
File: 000396 | WER: 0.0833 | Dist: 1 | RefWords: 12
File: 000397 | WER: 0.0370 | Dist: 1 | RefWords: 27
File: 000398 | WER: 0.1250 | Dist: 1 | RefWords: 8
File: 000399 | WER: 0.5000 | Dist: 3 | RefWords: 6
File: 000400 | WER: 0.0000 | Dist: 0 | RefWords: 3
File: 000401 | WER: 0.0345 | Dist: 1 | RefWords: 29
File: 000402 | WER: 0.1818 | Dist: 2 | RefWords: 11
File: 000403 | WER: 0.0476 | Dist: 1 | RefWords: 21
File: 000404 | WER: 0.0000 | Dist: 0 | RefWords: 4
File: 000405 | WER: 0.2353 | Dist: 4 | RefWords: 17
File: 000406 | WER: 0.2000 | Dist: 3 | RefWords: 15
File: 000407 | WER: 0.1875 | Dist: 3 | RefWords: 16
File: 000408 | WER: 0.0000 | Dist: 0 | RefWords: 14
File: 000409 | WER: 0.0909 | Dist: 1 | RefWords: 11
File: 000410 | WER: 0.1481 | Dist: 4 | RefWords: 27
File: 000411 | WER: 0.1739 | Dist: 4 | RefWords: 23
File: 000412 | WER: 0.0000 | Dist: 0 | RefWords: 5
File: 000413 | WER: 0.2500 | Dist: 2 | RefWords: 8
File: 000414 | WER: 0.4000 | Dist: 4 | RefWords: 10
File: 000415 | WER: 0.2308 | Dist: 3 | RefWords: 13
File: 000416 | WER: 0.2222 | Dist: 2 | RefWords: 9
File: 000417 | WER: 0.1111 | Dist: 1 | RefWords: 9
File: 000418 | WER: 0.0800 | Dist: 2 | RefWords: 25
